State,SRR Information,GSR Information,Relevant Other Information,Summary,Links
Alabama,N,N,Y,"Alabama Department of Environmental Management provides a guidance document on site remediation. This document does not provide any guidance on resilient remediation, however it does link to an ITRC guidance on sustainable remediation in appendix F. The link results in a page not found error.","Alabama Department of Environmental Management General Page on Remediation - https://adem.alabama.gov/programs/land/default.cnt, Alabama Department of Environmental Management Remediation Guidance - https://adem.alabama.gov/programs/land/landforms/AEIRGInvestigation.pdf"
Alaska,N,Y,Y,"The ITRC website links a fact sheet about green and sustainable remediation by the Naval Facilities Engineering Command as a resource for SRR for Alaska. This is not linked on Alaska's Department of Envrionmental Conservation's page for contaminated sites. The contaminated sites technical guidance and current regulations pages provided no reference to sustainable resilient remediation. Alaska's Department of Commerce, Community, and Economic Development mentions several programs related to climate change resilience. These include the Community Coastal Protection Project and Alaska Climate Change Impact Mitigation Program. The Community Coastal Protection Project provides information on what a resilient community is. The Alaska Climate Change Impact Mitigation Program provides hazard impact assessment and community planning grants for communities directly impacted by climate change.","GSR Fact Sheet linked by ITRC - file:///C:/Users/kcpgi/OneDrive/Downloads/green-and-sustainable-remediation-fact-sheet.pdf, Alaska Department of Environmental Conservation Contaminated Site Guidance - https://dec.alaska.gov/spar/csp/guidance-forms/, Alaska Community Coastal Protection Project - https://www.commerce.alaska.gov/web/dcra/PlanningLandManagement/AlaskaCommunityCoastalProtectionProject.aspx, Alaska Climate Change Impact Mitigation Project - https://www.commerce.alaska.gov/web/dcra/PlanningLandManagement/ACCIMP.aspx"
Arizona,N,Y,Y,Arizona's Department of Environmental Quality provides a resource document with suggestions for green remediation practices. The sheet does not mention climate change resiliency in remediation. Arizona's Department of Transportation has a climate resilience program for transportation infrastructure planning that may be relevant if a site remediation project involves a roadway area.,"Arizona Department of Environmental Quality Green Remediation Technical Support Document - https://static.azdeq.gov/wpd/green_rem_pract.pdf, Arizona Department of Transportation Resilience Program - https://azdot.gov/business/environmental-planning/programs/sustainable-transportation/resilience-program"
Arkansas,N,N,N,"Although the ITRC links the Arkansas Department of Energy and Environment under SRR regulations, no regulations applied to sustainable resilient remediation. No other information on the Arkansas Department of Energy and Environment website referenced sustainable or resilient remediation. ",Arkansas Department of Energy and Environment Regulations - https://www.adeq.state.ar.us/regs/
California,N,Y,Y,"The California Department of Toxic Substances Control website on site mitigation and restoration does not mention SRR, however it does have green remediation guidance. The California state government has a resiliency website with advanced search tools to find resources and projects related to resiliency. The tools are very user friendly and all resources and projects are categorized with the type of resource and climate change impacts adressed. ","California Department of Toxic Substances Control Site Mitigation and Restoration Program Website - https://dtsc.ca.gov/site-mitigation/, California Department of Toxic Substances Control Green Remediation Website - https://dtsc.ca.gov/dtsc-website-archive/green-remediation/, California resiliency website Adaption Clearinghouse - https://resilientca.org/"
Colorado,N,Y,Y,The Colorado Department of Public Health and Environment's website on Environmental Cleanups does not mention SRR. They do have a list of green BMPs for oil and petroleum cleanups. The state of Colorado also released a 2020 resiliency framework with suggested strategies for climate and natural hazard resiliency for projects. The Colorado Department of Local Affairs has a Resilience and Hazard Mitigation with links to resources they suggest for mitigation.,"Colorado Department of Public Health and Environment Environmental Cleanup Website - https://cdphe.colorado.gov/environmental-cleanup, BMPs for Green oil/petroleum cleanups - https://ops.colorado.gov/sites/ops/files/2020-01/scr_green_best_management_practices.pdf, State of Colorado 2020 Resiliency Framework - https://climate.colorado.gov/colorado-resiliency-framework, Colorado Department of Local Affairs Resilience and Hazard Mitigation website - https://cdola.colorado.gov/community-development-planning/resilience-hazard-mitigation"
Connecticut,N,Y,Y,"The Connecticut Department of Energy and Environmental Protection website on remediation and site cleanup does not mention SRR. The website does have a section on green remediation guidance which references EPA, ITRC, and other guidance on green remediation. The Connecticut Department of Energy and Environmental Protection website references the Connecticut Institute for Resilience and Climate Adaption (CIRCA) as the source for recent information on resilience in the state. The CIRCA website has a resource of projects incorporating resiliency approaches in the state for reference.","Connecticut Department of Energy and Environmental Protection Green Remediation website - https://portal.ct.gov/DEEP/Remediation--Site-Clean-Up/Guidance/Green-Remediation, CIRCA Projects and Products website - https://circa.uconn.edu/projects-products/"
Delaware,N,Y,Y,The Delaware Department of Natural Resources and Environmental Control website for site remediation does not provide any information on SRR. The Delaware DNREC Brownfield's guidance on grant funding contains a section on green remediation. The Delaware DNREC also has a website dedicated to adaption guidance for sea level rise.,"Delaware Department of Natural Resources and Environmental Control Remediation Website - https://dnrec.alpha.delaware.gov/waste-hazardous/remediation/, Delaware DNREC Brownfields Grant Funding Guidance - https://documents.dnrec.delaware.gov/dwhs/remediation/brownfields/Brownfield-Eligible-Expense-Reimbursement-Guidance.pdf, Delaware DNREC Adaption to Sea Level Rise Website - https://dnrec.alpha.delaware.gov/coastal-programs/planning-training/adapting-to-sea-level-rise/"
Florida,N,N,Y,"The Florida Department of Environmental Protection does not have any specific guidance on SRR. However, the Florida DEP does have a resilienct coastlines program which provides technical guidance on developing climate adaption strategies in coastal communites. This guidance may be relevant to cleanup sites within these communities.","Florida Department of Environmental Protection Waste Cleanup Program Website - https://floridadep.gov/waste/waste-cleanup, Florida Department of Environmental Protection Resilient Coastlines Program - https://floridadep.gov/rcp/florida-resilient-coastlines-program, Florida Department of Environmental Protection Adaption Planning Guidebook - https://floridadep.gov/sites/default/files/Adaptation_Planning_Guidebook_0.pdf"
Georgia,N,N,Y,"The Georgia Environmental Protection Division website for hazardous waste does not reference SRR. The Georgia Department of Natural Resources does have a website for coastal hazards and resiliency. This website links to a project called coastal resiliency with green infrastructure, which includes a thorough guidance document about producing coastal resilient infrastructure.","Georgia Environmental Protection Division Hazardous Waste Website - https://epd.georgia.gov/about-us/land-protection-branch/hazardous-waste, Georgia Department of Natural Resources Coastal Hazards and Resiliency Website - https://coastalgadnr.org/CoastalHazards, Georgia Department of Natural Resources ""Enhancing Coastal Resiliency with Green Infrastructure"" Guidance Document - https://coastalgadnr.org/sites/default/files/crd/CZM/GreenGrowth/Coastal%20Resiliency%20Guide_FINAL09302020.pdf"
